
*
***** Sword3PaySys Start (@ 2025/11/15 18:10:00.724) >>>>>
*

[2025/11/15 18:10:06] 1 >> DB Connect 0 is busy !
[2025/11/15 18:10:06] 2 >> Add Gateway(192.168.254.53 : 56905) Client 0 ! // -- At 0
[2025/11/15 18:10:06] 3 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/15 18:10:06] 4 >> Gateway unlock OK!
[2025/11/15 18:10:06] 5 >> Gateway Connect OK!
[2025/11/15 18:10:06] 6 >> Gateway txjx(192.168.254.53): Ping 0(s)
[2025/11/15 18:10:09] 7 >> DB Connect 0 is free !
[2025/11/15 18:10:18] 8 >> DB Connect 0 is busy !
[2025/11/15 18:10:18] 9 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/15 18:10:21] 10 >> DB Connect 0 is free !
[2025/11/15 18:10:21] 11 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:10:36] 12 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:10:51] 13 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:11:06] 14 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:11:21] 15 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:11:36] 16 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:11:51] 17 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:12:06] 18 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:12:21] 19 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:12:36] 20 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:12:51] 21 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:13:06] 22 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:13:21] 23 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:13:36] 24 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:13:51] 25 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:14:06] 26 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:14:21] 27 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:14:36] 28 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:14:51] 29 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:15:09] 30 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:15:24] 31 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:15:39] 32 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:15:54] 33 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:16:09] 34 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:16:24] 35 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:16:39] 36 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:16:54] 37 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:17:09] 38 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:17:24] 39 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:17:39] 40 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:17:54] 41 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:18:09] 42 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:18:24] 43 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:18:39] 44 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:18:54] 45 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:19:09] 46 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:19:24] 47 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:19:39] 48 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:19:54] 49 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:20:09] 50 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:20:24] 51 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:20:39] 52 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:20:54] 53 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:21:09] 54 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:21:24] 55 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:21:39] 56 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:21:54] 57 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:22:09] 58 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:22:24] 59 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:22:39] 60 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:22:54] 61 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:23:09] 62 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:23:24] 63 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:23:39] 64 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:23:54] 65 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:24:09] 66 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:24:24] 67 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:24:39] 68 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:24:54] 69 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:25:09] 70 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:25:24] 71 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:25:39] 72 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:25:54] 73 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:26:09] 74 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:26:24] 75 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:26:39] 76 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:26:54] 77 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/15 18:27:09] 78 >> Gateway txjx(192.168.254.53): Ping 15(s)
