
*
***** Sword3PaySys Start (@ 2025/11/16 00:55:45.570) >>>>>
*

[2025/11/16 00:55:51] 1 >> DB Connect 0 is busy !
[2025/11/16 00:55:51] 2 >> Add Gateway(192.168.254.53 : 59041) Client 0 ! // -- At 0
[2025/11/16 00:55:51] 3 >> DB Connect 0 is free !
[2025/11/16 00:55:51] 4 >> DB Connect 0 is busy !
[2025/11/16 00:55:51] 5 >> Gateway txjx(192.168.254.53)D89E-F301-B7E6: Verify OK !
[2025/11/16 00:55:51] 6 >> Gateway unlock OK!
[2025/11/16 00:55:51] 7 >> Gateway Connect OK!
[2025/11/16 00:55:51] 8 >> Gateway txjx(192.168.254.53): Ping 0(s)
[2025/11/16 00:55:54] 9 >> DB Connect 0 is free !
[2025/11/16 00:56:03] 10 >> DB Connect 0 is busy !
[2025/11/16 00:56:03] 11 >> Gateway txjx(192.168.254.53): User 123456 Login Success !
[2025/11/16 00:56:06] 12 >> DB Connect 0 is free !
[2025/11/16 00:56:06] 13 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:56:21] 14 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:56:36] 15 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:56:51] 16 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:57:06] 17 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:57:21] 18 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:57:36] 19 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:57:51] 20 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:58:06] 21 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:58:21] 22 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:58:36] 23 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:58:51] 24 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:59:06] 25 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:59:21] 26 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:59:36] 27 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 00:59:51] 28 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:00:06] 29 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:00:21] 30 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:00:39] 31 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:00:54] 32 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:01:09] 33 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:01:24] 34 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:01:39] 35 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:01:54] 36 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:02:09] 37 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:02:24] 38 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:02:39] 39 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:02:54] 40 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:03:09] 41 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:03:24] 42 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:03:39] 43 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:03:54] 44 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:04:09] 45 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:04:24] 46 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:04:39] 47 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:04:54] 48 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:05:09] 49 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:05:24] 50 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:05:39] 51 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:05:54] 52 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:06:09] 53 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:06:24] 54 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:06:39] 55 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:06:54] 56 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:07:09] 57 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:07:24] 58 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:07:39] 59 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:07:54] 60 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:08:09] 61 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:08:24] 62 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:08:39] 63 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:08:54] 64 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:09:09] 65 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:09:24] 66 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:09:39] 67 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:09:54] 68 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:10:09] 69 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:10:24] 70 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:10:39] 71 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:10:54] 72 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:11:09] 73 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:11:24] 74 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:11:39] 75 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:11:54] 76 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:12:09] 77 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:12:24] 78 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:12:39] 79 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:12:54] 80 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:13:09] 81 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:13:24] 82 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:13:39] 83 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:13:54] 84 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:14:09] 85 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:14:24] 86 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:14:39] 87 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:14:55] 88 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:15:10] 89 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:15:25] 90 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:15:40] 91 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:15:55] 92 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:16:10] 93 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:16:25] 94 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:16:40] 95 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:16:55] 96 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:17:10] 97 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:17:25] 98 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:17:40] 99 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:17:55] 100 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:18:10] 101 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:18:25] 102 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:18:40] 103 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:18:55] 104 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:19:10] 105 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:19:25] 106 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:19:40] 107 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:19:55] 108 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:20:10] 109 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:20:25] 110 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:20:40] 111 >> Gateway txjx(192.168.254.53): Ping 14(s)
[2025/11/16 01:20:55] 112 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:21:10] 113 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:21:25] 114 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:21:40] 115 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:21:55] 116 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:22:10] 117 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:22:25] 118 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:22:40] 119 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:22:55] 120 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:23:10] 121 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:23:25] 122 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:23:40] 123 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:23:55] 124 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:24:10] 125 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:24:25] 126 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:24:40] 127 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:24:55] 128 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:25:10] 129 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:25:25] 130 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:25:40] 131 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:25:55] 132 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:26:10] 133 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:26:25] 134 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:26:40] 135 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:26:55] 136 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:27:10] 137 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:27:25] 138 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:27:40] 139 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:27:55] 140 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:28:10] 141 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:28:25] 142 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:28:40] 143 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:28:55] 144 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:29:10] 145 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:29:25] 146 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:29:40] 147 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:29:55] 148 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:30:10] 149 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:30:25] 150 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:30:40] 151 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:30:55] 152 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:31:10] 153 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:31:25] 154 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:31:40] 155 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:31:55] 156 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:32:10] 157 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:32:25] 158 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:32:40] 159 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:32:55] 160 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:33:10] 161 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:33:25] 162 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:33:40] 163 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:33:55] 164 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:34:10] 165 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:34:28] 166 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:34:43] 167 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:34:58] 168 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:35:13] 169 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:35:28] 170 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:35:43] 171 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:35:58] 172 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:36:13] 173 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:36:28] 174 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:36:43] 175 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:36:58] 176 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:37:13] 177 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:37:28] 178 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:37:43] 179 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:37:58] 180 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:38:13] 181 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:38:28] 182 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:38:43] 183 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:38:58] 184 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:39:13] 185 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:39:28] 186 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:39:43] 187 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:39:58] 188 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:40:13] 189 >> Gateway txjx(192.168.254.53): Ping 15(s)
[2025/11/16 01:40:28] 190 >> Gateway txjx(192.168.254.53): Ping 15(s)
